Lyric,Title,Singer,Feeling,Label
Sapphire moonlight,Señorita,"Camila Cabello, Shawn Mendes",Joy,1
"I catch you backstage, give me the keys to the Escalade",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
But you was scared to shoot,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"What the fuck, what the fuck, what the fuck, nigga",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
And the wonder of it all,Wonderful Tonight,Eric Clapton,Joy,1
"Creepin' up on site, now it's Fright Night",Bring da Ruckus,Wu-Tang Clan,Anger,0
Get up,Angry White Boy Polka,Weird Al Yankovic,Anger,0
But then I got a little bit older,Kill You,Eminem,Anger,0
"Too many niggas, and not enough hoes",The Spiteful Chant,Kendrick Lamar,Anger,0
I miss you,When You're Gone,Avril Lavigne,Sad,2
"When I'm all alone with this heart of mine, ooh",Sometimes I Cry,Eric Benét,Sad,2
I feel you walk beside me,I'll see you again,Westlifes,Sad,2
But it hurts so bad i can't take it any longer,I Wanna Grow Old With You,Westlifes,Fear,3
"And most of you niggas, acting like hoes",The Spiteful Chant,Kendrick Lamar,Anger,0
I don't trust no one around us,I'm a Mess,Bebe Rexha,Sad,2
Wild horses couldn't drag me away,Wild Horses,The Rolling Stones,Sad,2
"But fuck it it's all good, the hood is up in The Source",Fight Music,D12,Anger,0
Words support like bone,Hurt,Johnny Cash,Sad,2
"Niggas!, isn't just the blacks",I Don't Give a Fuck,Tupac Shakur,Anger,0
"I was a monster, I would stomp you in the yard with a brick",Hollow Points,Unknown ,Anger,0
You're every step I make,Endliess Love,"Lionel Richie, Diana Ross",Joy,1
"Nothing's all right, nothing is fine",Angry White Boy Polka,Weird Al Yankovic,Anger,0
"I can't stand em, fake ass niggaz want to be the Phantom",Get It On The Floor,DMX,Anger,0
I'm searching for a song tonight,Maps,Maroon 5,Sad,2
This night is cold in the kingdom,Let me down slowly,Alec Benjamin,Sad,2
"I like you more, the world may know but don't be scared","I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
Stars when you shine,Feeling Good,Michael Bublé,Joy,1
You see you us you better run nigga (better run nigga),3Hunna,Chief Keef,Anger,0
All those crazy things we did,Wish You Were Here,Avril Lavigne,Sad,2
"I was too late, I was too… ",Same Drugs,Chance the Rapper,Sad,2
Your daughter is my number one fan,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Oh, I feel so sorry",Everybody Hurts,R.E.M.,Sad,2
"And nothin' but the truth so help your black ass?""",Fuck Tha Police,N.W.A.,Anger,0
Fuck you to the Marin County Sheriff department,I Don't Give a Fuck,Tupac Shakur,Anger,0
Where is my phone? That pussy callin',I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Hey yo I'm firin' out a coppertop city, with a whole empire",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Still gettin' swole off bread and water,Fuck Tha Police,N.W.A.,Anger,0
"Die cocksucker, boom bap boom bap",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
This stage is my pedestal,Drop the World,Lil Wayne,Anger,0
Now I long for yesterday,Yesterday,The Beatles,Sad,2
And more deadly than the stroke of an axe,Bring da Ruckus,Wu-Tang Clan,Anger,0
I know there's gonna be,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"A sick song to retaliate to, and it's called..",Fight Music,D12,Anger,0
Could you find a way to let me down slowly?,Let me down slowly,Alec Benjamin,Sad,2
Does your memory stray to a brighter sunny day,Are You Lonesome Tonight,Elvis Presley,Sad,2
"At ya'll head, ya'll some dead summamabitches (Ay!)",Crunk Muzik,The Diplomats,Anger,0
All them scenes to this affair,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
I don't need no pussies to co-sign it,Hip Hop Sinister,Hopsin,Anger,0
When you're ridin' sixteen hours and there's nothin' much to do,Turn the Page,Metallica,Sad,2
Let's race to the trunk (To the trunk),You Don't Want Drama,8Ball & MJG,Anger,0
"I'm unstoppable, incredible",Drop the World,Lil Wayne,Anger,0
"I feel low, low, low",So Lonely,The Police,Sad,2
You don't know cause it ain't televised,Hip Hop Sinister,Hopsin,Anger,0
You know why my hands are so numb? (No),Fight Music,D12,Anger,0
Rise up this mornin',Three Little Birds,Bob Marley,Joy,1
I felt a rush of blood in my veins,Female Robbery,The Neighbourhood,Anger,0
"Busta Rhymes now, M.O.P. Now",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
My maturity shows when I take these young rappers and I murder their flows,Agony Fires,Army of the Pharaohs,Anger,0
I'm from that Chi Town bitch,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Fuck droppin' the jewel, I'm flippin' the sacred treasure",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
And all of the things that we had behind,Sorry,Halsey,Sad,2
"Knives, lives, wives, nuns, sluts, bitch, I'ma kill you!",Kill You,Eminem,Anger,0
"Yessir, I'm cut from a different cloth",Crazy in Love,Beyoncé,Joy,1
A mother-fuckin' night nigga,I Don't Give a Fuck,Tupac Shakur,Anger,0
Somebodt to hold,Someone You Loved,Lewis Capaldi,Sad,2
I never would have noticed if we'd never met,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
It's like I always figured,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
Cause I done been to hell and back I ain't wit selling crack,Get It On The Floor,DMX,Anger,0
"Oh, baby, gonna be alright",Angry White Boy Polka,Weird Al Yankovic,Anger,0
"(Lovely day, lovely day, lovely day, lovely day)",Lovely Day,Bill Withers,Joy,1
Baby girl I didn't mean to shout,Lonely,Akon,Sad,2
How can I love when I'm afraid to fall,A Thousand Years,Christina Perri,Fear,3
And what would you say if I called on you now,All Out of Love,Air Supply,Sad,2
They wanna jack me like some kind of crack fiend,I Don't Give a Fuck,Tupac Shakur,Anger,0
And why I'll never know.,Are You Lonesome Tonight,Elvis Presley,Sad,2
I'm half a heart without you,Half a Heart,One Direction,Sad,2
So why did you go?,Last Kiss,Taylor Swift,Sad,2
To hear you knocking at my door,All I want,Joni Mitchell,Sad,2
And since birth I've been cursed with this curse to just curse,The Way I Am,Eminem,Anger,0
Put your faith in my stomach,I’m a Mess,Ed Sheeran,Sad,2
"You're the only thing I know like the back of my hand,",Breathe,Taylor Swift,Sad,2
Once I was eleven years old my daddy told me Go get yourself a wife or you'll be lonely ,7 Years,Lukas Graham,Fear,3
"Now I've been so sad and lonesome since you've left this town,",Lonely Avenue,"Ray Charles, Doc Pomus",Sad,2
Fuck y'all,I Don't Give a Fuck,Tupac Shakur,Anger,0
Red lights to keep you sighted My shit on the rising,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
"Shaolin shadowboxing, and the Wu-Tang sword style",Bring da Ruckus,Wu-Tang Clan,Anger,0
And there's never been a one on one,Get It On The Floor,DMX,Anger,0
And I'm about to catch a motherfuckin' homicide,Hollow Points,Unknown ,Anger,0
"What the fuck, what the fuck, what the fuck, what the fuck",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
Serial killer hiding murder material,Kill You,Eminem,Anger,0
That you found a girl and you're married now,100 Years,Five for Fighting,Sad,2
Cursin' at you players worse than Marty Schottenheimer,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Spit it how I live it, keep it gutter, that's how we get down",You Don't Want Drama,8Ball & MJG,Anger,0
"And now I'm feeling stupid, feeling stupid crawling back to you",One More Night,Maroon 5,Joy,1
"Killa, he'll kill a nigga you thinkin' harming me",Crunk Muzik,The Diplomats,Anger,0
Charged like a bull and got pull like a trigga,Bring da Ruckus,Wu-Tang Clan,Anger,0
"I stole that f***in' clock, I took the time and I",Drop the World,Lil Wayne,Anger,0
Killing rappers like I condone violence,Hip Hop Sinister,Hopsin,Anger,0
Never wonder where I am,The Power Of Love,Celine Dion,Joy,1
That means he's lost the will to live,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
So step but you better step quick,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Alone again, naturally",Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
Maxed out my oath,Spikes,Death Grips,Anger,0
Is it something that I've done,Astronaut,Simple Plan,Sad,2
Fearful when the sky was full of thunder,The Circle Game,Joni Mitchell,Fear,3
Like I'm half of a whole,Sad Song,We The Kings,Sad,2
Dropped my mixtape and it sold like an album,The Spiteful Chant,Kendrick Lamar,Anger,0
Take off all your preppy clothes,Complicated,Avril Lavigne ,Anger,0
"Good, good, good, good vibrations (oom bop bop)",Good Vibrations,The Beach Boys,Joy,1
"Live bitch, why kiss, on my wrist a glowworm (fifty thousand)",Crunk Muzik,The Diplomats,Anger,0
Where is the moment we needed the most?,Bad Day,Daniel Powter,Sad,2
Clap along if you feel like that's what you wanna do,Happy,Pharrel Williams,Joy,1
"Baby girl sit it down, you not known like an usher",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Step on the glass, staple your tongue (ahh)",bury a friend,Billie Eilish,Anger,0
"And it's my fault, keep niggaz on point ducking down",Get It On The Floor,DMX,Anger,0
Got me looking so crazy right now (lookin' crazy),Crazy in Love,Beyoncé,Joy,1
Walkin' with that troublesome guy,It Will Rain,Bruno Mars,Sad,2
Sending SOS from this tiny box,Astronaut,Simple Plan,Sad,2
So lonely,So Lonely,The Police,Sad,2
Sometimes I sit and look at life from a different angle,I’m Supposed to Die Tonight,50 Cent,Anger,0
I never wished to ever hurt my baby,Lonely,Akon,Sad,2
Oh baby why did you run away?,Maps,Maroon 5,Sad,2
We don't give a what what!!,Get It On The Floor,DMX,Anger,0
You get managed I'll have you gag your penis,Hip Hop Sinister,Hopsin,Anger,0
With their sails afloat,Blue Bayou,Linda Ronstadt,Sad,2
"I'm goin' up over the curb, drivin' on the median",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Yeah, is it too late now to say sorry?",Sorry,Justin Bieber,Sad,2
I know what no one else knows,Runaway Train,Soul Asylum,Sad,2
"I'm heroin in the needle, my emotions are see-through",Hollow Points,Unknown ,Anger,0
Don't know if I'm God's child or I'm Satan's angel,I’m Supposed to Die Tonight,50 Cent,Anger,0
All I see is niggas dying fast,I Don't Give a Fuck,Tupac Shakur,Anger,0
"So if you do the speed limit, get the fuck outta my way",Move Bitch,Ludacris,Anger,0
"Later in the evenin', as you lie awake in bed",Turn the Page,Metallica,Sad,2
I wish I could carry your smile and my heart,All Out of Love,Air Supply,Sad,2
"(Come here, come here, come here)",Angry White Boy Polka,Weird Al Yankovic,Anger,0
"Niggas come put a hit out and they talkin' like the shit okay (pup, pup, pup, pup, pup, pup)",I’m Supposed to Die Tonight,50 Cent,Anger,0
"When I crawl, leave a nigga sprawled out after I spoke em",Get It On The Floor,DMX,Anger,0
And now they trying to send me off to Kuwait,I Don't Give a Fuck,Tupac Shakur,Anger,0
He sounds too blue to fly,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
Don't tell them anything,Female Robbery,The Neighbourhood,Anger,0
Walked in the store what's everybody staring at,I Don't Give a Fuck,Tupac Shakur,Anger,0
"I'm a mess, I'm a loser",I'm a Mess,Bebe Rexha,Sad,2
Won't even let the sunlight in,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
Too much to handle in seconds I manhandle the peasants,Hollow Points,Unknown ,Anger,0
"They say niggas like to do niggas,",I Don't Give a Fuck,Tupac Shakur,Anger,0
"Electric meat-shaver that's a modern man's saw,",Agony Fires,Army of the Pharaohs,Anger,0
What you wanna throw down,I Don't Give a Fuck,Tupac Shakur,Anger,0
Get you in the night or early in the afternoon niggas,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"Gotta change my answering machine, now that I'm alone",100 Years,Five for Fighting,Sad,2
"Too many niggas, not enough hoes",The Spiteful Chant,Kendrick Lamar,Anger,0
We are the youth of the nation Hey,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"I'm supposed to die tonight (pup, pup, pup, pup, pup, pup)",I’m Supposed to Die Tonight,50 Cent,Anger,0
"You Liberace's, Versace's, and you nazis",Fight Music,D12,Anger,0
And hypocrites who think the same shit but don't say shit,Fight Music,D12,Anger,0
Now you don't want no drama boy cause we the drama kings,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
Motherfucker!,Killing In The Name,Unknown,Anger,0
Once again it's the darker nigga,Get It On The Floor,DMX,Anger,0
I can feel you fade away,Let me down slowly,Alec Benjamin,Sad,2
Keep this shit one hunna,3Hunna,Chief Keef,Anger,0
I know you've been so unhappy,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
"Fuck it, just shut up and listen, ayo",The Way I Am,Eminem,Anger,0
"So I wonder, where were you?",Maps,Maroon 5,Sad,2
Cause it's dark out here and I can't find you ,Lonelier Than This,Steve Earle,Sad,2
While Dr. Dre videotapes you (hell yeah!),Fight Music,D12,Anger,0
"High like space, forty five on waist",Crunk Muzik,The Diplomats,Anger,0
"Every projects in every hood I go, they feel me",I’m Supposed to Die Tonight,50 Cent,Anger,0
Move out to California,Angry White Boy Polka,Weird Al Yankovic,Anger,0
I came to claim but the game,Drop the World,Lil Wayne,Anger,0
I wonder if you're lonesome tonight,Are You Lonesome Tonight,Elvis Presley,Sad,2
In the bathroom without someone standing by it,The Way I Am,Eminem,Anger,0
"You are my love, you are my heart",Baby,Justin Bieber,Joy,1
Me and my niggas just acting bad,The Spiteful Chant,Kendrick Lamar,Anger,0
Never thought a love like yours would leave me all alone (oh no),Bad Day,Justin Bieber,Sad,2
Where is it at?,Hip Hop Sinister,Hopsin,Anger,0
This is falling for you and you are worlds away,Come Back...Be Here,Taylor Swift,Sad,2
Catch you with the small 22. that I had in my boot,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
How do I breath without you,How do I live WIthout you,LeAnn Rimes,Sad,2
"Gotta fix that calender I have, that's marked July 15th",100 Years,Five for Fighting,Sad,2
People slow dancing everywhere I go,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
In the search for someone else,Astronaut,Simple Plan,Sad,2
"No expression, no expression",Mad World,"Gary Jules, Michael Andrews",Sad,2
Crush the glass from my bare hands and swallow it,Fight Music,D12,Anger,0
Wish I could bring pun back,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
I hate to bug you in the middle of dinner,You Oughta Know,Alanis Morissette,Anger,0
Now I'm in the back of the paddy wagon,I Don't Give a Fuck,Tupac Shakur,Anger,0
Ante up!,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"Gun to his neck now, react what?",Bring da Ruckus,Wu-Tang Clan,Anger,0
"Traumatized on for size, roadkill hides like yuppies",Spikes,Death Grips,Anger,0
Would you spend your whole life with me?,Locked away,R. City,Fear,3
"My head is swole, my confidence is up",Drop the World,Lil Wayne,Anger,0
"Cause niggas thought I was done, but I ain't finished up",Hip Hop Sinister,Hopsin,Anger,0
"Music starts playin' like the end of a sad movie,",Breathe,Taylor Swift,Sad,2
"I told myself, don't get attached",Come Back...Be Here,Taylor Swift,Sad,2
And that you can't stop missing me,Half a Heart,One Direction,Sad,2
"Shit, King Syze with the getaway,",Agony Fires,Army of the Pharaohs,Anger,0
An just smile.,A Beautiful Morning,The Rascals,Joy,1
You scared cause you know hell arrived,Hip Hop Sinister,Hopsin,Anger,0
I'm gonna get free,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"Don't cut me down, throw me out, leave me here to waste",Let me down slowly,Alec Benjamin,Sad,2
Now if I stop being who I am that would upset me,Hip Hop Sinister,Hopsin,Anger,0
Cause tonight I'm feeling like an astronaut,Astronaut,Simple Plan,Sad,2
It seems I'm far away,The Power Of Love,Celine Dion,Joy,1
"Nigga I'm iller, count scrilla like casinos, only c-notes and over",Hollow Points,Unknown ,Anger,0
"More and more each day, gotta say, lead the way,",A Beautiful Morning,The Rascals,Joy,1
All my motherfucking life I been the Devil's advocate,Get It On The Floor,DMX,Anger,0
"Tryna get into where I fit in, no room for a n****",Drop the World,Lil Wayne,Anger,0
So I've made my mind up,Goodbye to Love,Carpenters,Sad,2
Bitch I'm leanin' like a kickstand (kickstand),3Hunna,Chief Keef,Anger,0
I'm pickin' up good vibrations,Good Vibrations,The Beach Boys,Joy,1
"For the debt I owe, gotta sell my soul",bury a friend,Billie Eilish,Anger,0
"Butterflies all havin' fun, you know what I mean",Feeling Good,Michael Bublé,Joy,1
"I'm all helter-skelter, I'm on that Faust",Spikes,Death Grips,Anger,0
"Here we go again, we're out of our medicine",Kill You,Eminem,Anger,0
"Fuck a cop, dirty pig we buckin' police,",Agony Fires,Army of the Pharaohs,Anger,0
You seem so lost,Hey There Lonely Girl,Eddie Holman,Sad,2
Have a drink on me cheers to the failing,I'm a Mess,Bebe Rexha,Sad,2
I've never seen a night so long,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
Motherfucker we making history,Hip Hop Sinister,Hopsin,Anger,0
If you're not there,Love Is Like Oxygen,Sweet,Joy,1
Does the feeling seem oh so right,All Out of Love,Air Supply,Sad,2
But I'm on the outside,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Do you ever think about me,Do you ever,Justin Vasquez,Sad,2
"I'm King Kong, guns blow you to king-dom come",Fight Music,D12,Anger,0
"Good God, let me give you my life",Take Me to Church,Hozier,Sad,2
This bitch named Karma got me going crazy and this fuckin' high,Hollow Points,Unknown ,Anger,0
For a thousand years or more,So Lonely,The Police,Sad,2
"Shitty, you're ten thousand leagues subzero sweat dripping",Spikes,Death Grips,Anger,0
Come on get down with the sickness,Angry White Boy Polka,Weird Al Yankovic,Anger,0
"This is war, gentleman (kill)",Hip Hop Sinister,Hopsin,Anger,0
I'll jump kick your ass through the glass of the booth window,Hip Hop Sinister,Hopsin,Anger,0
And fuck you,I Don't Give a Fuck,Tupac Shakur,Anger,0
"Now, I spend my time just making rhymes of yesterday",One Is The Loneliest Number,Three Dog Night,Sad,2
"So happy, but now so lonely",Lonely,Akon,Sad,2
In the middle of a fire,You Don't Want Drama,8Ball & MJG,Anger,0
"There's somethin' wrong, we can't stay still",Move Bitch,Ludacris,Anger,0
"Bitch, I'ma kill you!",Kill You,Eminem,Anger,0
My brother can't you see I've got the victory,Stomp,Kirk Franklin,Anger,0
"Eminem offend? No, Eminem'll insult",Kill You,Eminem,Anger,0
Never been so easy or so slow,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
"My glock is a nine, my thirty-eight Wesson a beautiful bitch,",Agony Fires,Army of the Pharaohs,Anger,0
I just want you to call my phone,Lonely,Akon,Sad,2
Away from the sun that shines into the darkest place,Away From the Sun,3 Doors Down,Sad,2
I'm tired of living in the dark,Away From the Sun,3 Doors Down,Sad,2
"Get him (get him) get him, hit him (hit him) hit him",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
"A literate type asshole, songs goin' gold, no doubt",Bring da Ruckus,Wu-Tang Clan,Anger,0
You're gonna make me lonesome when you go,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
Thinking of you till it hurts,All Out of Love,Air Supply,Sad,2
I'm surprised that God isn't vomiting,Hip Hop Sinister,Hopsin,Anger,0
But when I call you never seem to be home,Hello,Adele,Sad,2
I hope he buys you flowers,When I Was Your Man,Bruno Mars,Sad,2
I like the way you try so hard when you play ball with your friends,"I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
Another day has gone,You Are Not Alone,Michael Jackson,Sad,2
Get up off them god damn diamonds (huh!),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
The darkness is arrived so make a flare with a match,Hip Hop Sinister,Hopsin,Anger,0
"Somebody let me out this limousine (hey, let me out!)",Just Don't Give a Fuck (a cappella),Eminem,Anger,0
"Dirt bag can't make money, he stuck in the streets",Agony Fires,Army of the Pharaohs,Anger,0
And I'm floating in a most peculiar way,Space Oddity,David Bowie,Sad,2
I never thought that I would fall,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
I know we're through,Everybody's Got Somebody But Me,Hunter Hayes,Sad,2
We just wanna party,This Is America,Donald Glover,Joy,1
I make ya sing this time,I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Up north niggaz get the pick stuck up in em,Get It On The Floor,DMX,Anger,0
I'm cooling wit my young niggas (wit my young niggas),3Hunna,Chief Keef,Anger,0
"Put a bear-trap on ya ankle, drop you off at Foot-Locker,",Agony Fires,Army of the Pharaohs,Anger,0
"Of cops, dyin' in L.A.",Fuck Tha Police,N.W.A.,Anger,0
"Out of our minds and we want in yours: let us in, or I'ma kill you!",Kill You,Eminem,Anger,0
Wish somebody would tell me I'm fine,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Love you everywhere and any moment,"I Like You So Much, You'll Know It",Honey Jemlan,Joy,1
"Without you, I feel broke",Sad Song,We The Kings,Sad,2
"Fuck that, get money",Somebody Else,The 1975,Anger,0
You look as if you're going somewhere,So Lonely,The Police,Sad,2
It's the way I'm feeling I just can't deny,We Found Love,Rihanna,Joy,1
"I hate to turn up out of the blue, uninvited",100 Years,Five for Fighting,Sad,2
"I got ice in my veins, blood in my eyes",Drop the World,Lil Wayne,Anger,0
"I'm a hater, I'm a user",I'm a Mess,Bebe Rexha,Sad,2
"I'll always take you back for your sex appeal (Good time, hey)",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
Dare ya to do what you want,Double Dare Ya,Bikini Kill,Anger,0
You kow what the movements like,Crunk Muzik,The Diplomats,Anger,0
We're the renegades of funk,Angry White Boy Polka,Weird Al Yankovic,Anger,0
That's how I got this whole nation to embrace me,Fight Music,D12,Anger,0
As I look in your eyes,The Power Of Love,Celine Dion,Joy,1
"Reaching for the phone 'cause, I can't fight it anymore",Need You Now,Lady Antebellum,Sad,2
"Shouldn't hide, still inside, shouldn't hide,",A Beautiful Morning,The Rascals,Joy,1
Like a madman laughin' at the rain,Runaway Train,Soul Asylum,Sad,2
Are running out of time,Hello,Adele,Fear,3
My jigsaw manipulates you open,Spikes,Death Grips,Anger,0
"I just turn the wheel, hit a back block",Hollow Points,Unknown ,Anger,0
I wanna live while we're young,Live While We're Young,One Direction,Joy,1
(What you want want want want want want blunt blunt),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
I'll see you again,I'll see you again,Westlifes,Sad,2
Only darkness every day,Ain't No Sun Shine,Bill Withers,Sad,2
"Fuck shots, I hope the weed'll outweigh these drinks",Kill You,Eminem,Anger,0
"We pull them Glocks out, we about to make a change",Hollow Points,Unknown ,Anger,0
No sweeping exit or offstage lines,Wild Horses,The Rolling Stones,Sad,2
All by myself Don't wanna be,All by Myself,Celine Dion,Sad,2
Honesty and promise me I'm never gonna find you fake it,Complicated,Avril Lavigne ,Anger,0
Tellin' your boys that I'm on crack,Just Don't Give a Fuck (a cappella),Eminem,Anger,0
But at least have the decency in you,The Way I Am,Eminem,Anger,0
Smacked this whore for talkin crap (bitch),Fight Music,D12,Anger,0
"And I don't know how I can do without, I just need you now",Need You Now,Lady Antebellum,Sad,2
I know movin' someone know we usually gone pop you (te matan),Crunk Muzik,The Diplomats,Anger,0
When time goes crawling by,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"Lonely, I'm Mr. Lonely",Lonely,Akon,Sad,2
But sometimes these feelings can be so misleading,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Said I wouldn't call but I lost all control and I need you now,Need You Now,Lady Antebellum,Sad,2
Don't wanna throw away another lonely life,Another Lonely Night,Adam Lambert,Sad,2
"Roulette, slip up and get fucked like Suzette",Bring da Ruckus,Wu-Tang Clan,Anger,0
While you movin' them thangs,Crunk Muzik,The Diplomats,Anger,0
And when it's quiet you're screaming inside,Fly Before You Fall,Cynthia Erivo,Sad,2
Headless,Spikes,Death Grips,Anger,0
"Cause they driving me crazy, I can't take it",The Way I Am,Eminem,Anger,0
"Bury a friend, I wanna end me",bury a friend,Billie Eilish,Anger,0
And spaces between us,My Heart Will Go On,Celine Dion,Joy,1
"Take it back Sisqo, you know where it belongs (thong th-thong thong)",Fight Music,D12,Anger,0
I never thought I'd need you there when i cry,When You're Gone,Avril Lavigne,Sad,2
"Yeah I try my best, but there's no one left for me to lose",Another Lonely Night,Adam Lambert,Sad,2
I'm as blue as blue can be,Lonelier Than This,Steve Earle,Sad,2
I will let you down,Hurt,Johnny Cash,Sad,2
"And I'm here, to remind you",You Oughta Know,Alanis Morissette,Anger,0
I know you were right believing for so long,All Out of Love,Air Supply,Sad,2
Why'd you leave the keys upon the table?,Angry White Boy Polka,Weird Al Yankovic,Anger,0
Don't worry about a thing Cause every little thing gonna be alright,Three Little Birds,Bob Marley,Joy,1
I'm the one the rep the set,Crunk Muzik,The Diplomats,Anger,0
They say that time's supposed to heal ya,Hello,Adele,Sad,2
"My gun, don't make me beat it (bang bang)",3Hunna,Chief Keef,Anger,0
"Forget it, close the trunk",You Don't Want Drama,8Ball & MJG,Anger,0
It's easy All you need is love,All You Need is Love,The Beatles ,Joy,1
Need you there when I cry,When You're Gone,Avril Lavigne,Sad,2
"If I wasn't, then why would I say I am?",The Way I Am,Eminem,Anger,0
"Ante up! Yo, yap that bitch",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,0
So I cross my heart and I hope to die,One More Night,Maroon 5,Joy,1
I thought a lot of destiny but it's truthfully real,Hollow Points,Unknown ,Anger,0
"I'm from that Memphis, Tenn Bitch",Who Gives a Fuck Where You From,DJ Kay Slay,Anger,0
(Hide the scars to fade away the shakeup),Angry White Boy Polka,Weird Al Yankovic,Anger,0
This is such a wonderful place to me,Rainbow,Unknow,Joy,1
Baby don't you cry,sex money feelings die,Lykke Li,Sad,2
Did you ever see a robin weep,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
"Softly smile, I know she must be kind",Good Vibrations,The Beach Boys,Joy,1
"Hermes shit, I spent a thousand",The Spiteful Chant,Kendrick Lamar,Anger,0
"I swear to God I'ma tip you, don't got to struggle",I Know There's Gonna Be (Good Times),Jamie xx,Joy,1
"Go call you a lawyer, file you a lawsuit",The Way I Am,Eminem,Anger,0
"But the dog is bigger, under stress",Get It On The Floor,DMX,Anger,0
Cause now again I found myself so far down,Away From the Sun,3 Doors Down,Sad,2
And you watch a corny nigga fold,Bring da Ruckus,Wu-Tang Clan,Anger,0
See the flames inside my eyes,I’m a Mess,Ed Sheeran,Sad,2
"I break loops, and trample shit, while I stomp!",Bring da Ruckus,Wu-Tang Clan,Anger,0
How bout yer fucking face,Break Stuff,Limp Bizkit,Anger,0
I know nothing at all,Say Something,A Great Big World,Sad,2
"I'm like salt, I'll get up",Get It On The Floor,DMX,Anger,0
And won't hesitate to sock you again for swollen knuckles,Fight Music,D12,Anger,0
My heartbeat ringin' like a hollow drum,Lonelier Than This,Steve Earle,Sad,2
"And then I tell her, as I turn out the light",Wonderful Tonight,Eric Clapton,Joy,1
Their tears are filling up their glasses,Mad World,"Gary Jules, Michael Andrews",Sad,2
"The spot gets smaller, and I get bigger",Drop the World,Lil Wayne,Anger,0
"Well tonight, I'll be lonely too",Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
Love was when I loved you,My Heart Will Go On,Celine Dion,Joy,1
"Keep you in the dark, what had you expected?",bury a friend,Billie Eilish,Anger,0
"And you feel the eyes upon you, as you're shakin' off the cold",Turn the Page,Metallica,Sad,2
Each time you pass my way,Hey There Lonely Girl,Eddie Holman,Sad,2
That should be me feeling your kiss,That should be me,Justin Bieber,Sad,2
I need somebody to heal,Someone You Loved,Lewis Capaldi,Sad,2
"I could die, I could die, I could die,",Lonely Avenue,"Ray Charles, Doc Pomus",Sad,2
The love light in your eyes,Wonderful Tonight,Eric Clapton,Joy,1
I'm looking so crazy in love's,Crazy in Love,Beyoncé,Joy,1
Nobody shows up unless I'm paying,I'm a Mess,Bebe Rexha,Sad,2
Won't let the sunlight in,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
