Lyric,Emotion
Now there's only me,Sad
"oo many niggas, not enough hoes",Anger
Just give me your smile in your heart,Joy
Mutherfucker,Anger
"So please, please",Sad
Or is it something wrose?,Fear
(Blunt blunt) see motherfucker we don't play for that shit,Anger
"I'm convinced I'm a fiend, shootin' up while this record is spinnin'",Anger
I miss everything we do,Sad
Beat a police out of shape,Anger
It's all just static in my head,Sad
It's so different in my head,Sad
It's the kinda ending you don't really wanna see,Sad
I can't be the only one who's so disconnected,Sad
I'd rather rob a nigga leave him wit a shell up in his back,Anger
You know I can't let you slide through my hands,Sad
"Including Weezys and Jeezys, if I had a genie",Anger
Each bird keeps singin' his own song.,Joy
I'll split your cabbage and lettuce and olives,Anger
"I've been playing myself, baby, I don't care",Joy
Let's do some living after we die,Sad
All the roads you took came back to me,Sad
Stomp on the enemy 'cause I've got the victory,Anger
Ain't nobody hurt you like I hurt you,Fear
"I was in Constantinople during Ottoman's shine,",Anger
"I see trees of green, red roses too",Joy
"You don't want none, no!",Anger
"Ayo, this song is for anyone",Anger
I'mma take his wrist and break it,Anger
"In any climate I'm shinin', floss, I'm perfect wit timin'",Anger
Seems like I should be getting somewhere,Sad
Bust a toast to your real friends,Joy
So I give her the car keys and she helps me to bed,Joy
"Fuck this rap shit, we clap bitch, two in ya body",Anger
And I know that my heart will go on,Joy
"Til I have you at knife point, then you beg me to stop",Anger
I never loved someone like I love you,Sad
The Grammy's and the American music shows pimp us like hoes,Anger
"Set it on the microphone, and competition get blown",Anger
"Hate to say I told you so, all right",Anger
Cause I know I can treat you better than he can,Sad
Three little birds Pitch by my doorstep,Joy
I'm in California dreaming about who we used to be,Sad
I cried and cried all day,Sad
"Ay, you know where the niggas be at right?",Anger
Sun in the sky,Joy
River running free You know how I feel,Joy
I would've broke my heart in two,Sad
And it seems like the media immediately points a finger at me,Anger
In this theater that I call my soul,Sad
"Another day, another lonely night",Sad
"I sling though, if anything, I bling yo",Joy
"All the same old cliché's, ""is it woman, or is it man""",Sad
She's giving me excitations (oom bop bop),Joy
I'm a good slow dancer but you'd never know,Sad
Freak to this motherfucker (let's get it on),Anger
"And we know it's never simple,",Sad
I wonder if knows that my income is more than,Anger
"My proud of what is yo' turn, Jim so burned",Anger
"Beef, got the right mack",Anger
I died a little bit inside,Sad
If the weather's fine and you got the time.,Joy
So while you huggin' model jawns I was huggin' the block,Anger
Double dare ya,Anger
Of everything we've been through,Sad
Three 6 Mafia for 12 years,Anger
Sixty shots a second on a hexed clock,Anger
Allegiance to the pain,Anger
To get you out your seat,Anger
Slide when you rep that other side,Anger
Talk about God in His mercy,Sad
"They can't figure him out, they like, ""Hey, is he insane?""",Joy
I struggled to change for J. Christ to accept me,Anger
Where dim lights bring forgetfulness,Sad
Cause Shady will fucking kill you (Ha-ha),Anger
I can't resist your charms,Joy
Let's put the gats up and throw your backs up,Anger
"Causin' confusion, disturbin' the peace",Anger
We got the hood locked worth a 100 mill,Anger
I'm lying alone with my head on the phone,Sad
"I seen nights full of pain, days are the same",Anger
So stop playing girl and come on home (come on home),Sad
"You know it's always dark and dreary since I broke off, baby, with",Sad
And I can only play that part,Sad
But the cops getting dropped by the gun shot,Anger
See your true colors,Anger
We make our great escape,Joy
"Served to survive, murdered and bribed",Anger
Bought a ticket for a runaway train,Sad
I'm in love with your body,Joy
"When I cock that tool, nigga run your damn jewels",Anger
Everybody heard that I fuck with Dre,Anger
But I just can't convince myself,Sad
I'm running and a-crying,Anger
(Enough is enough) No more walkin 'round with my head down,Sad
Ride into the sun,Anger
She's in love with the world,Anger
Singing' don't worry about a thing Cause every little thing gonna be alright,Joy
There's nothing left to lift me up,Sad
"This is, what you thought it wasn't",Anger
My ignorance has struck again,Sad
My vessel thrown like slack at the wind,Anger
Wonder this time where she's gone,Sad
You are someone else,Sad
"I see you, I feel you",Joy
"Honey, you lied when you said you loved me",Sad
In your darkest times,Sad
I've been thinkin' 'bout my father lately,Sad
This time I'm 'a let it all come out,Anger
I would've said what I wanted to,Sad
Give me some sunshine,Sad
I failed to see it from the start,Sad
Turn away 'cause I need you more,Joy
The needle tears a hole,Sad
I don't even believe in breathin',Anger
It's not the Russian it's the Wu-Tang crushin',Anger
And I know we haven't talked in a while,Sad
"The genuine article, I do not sing though",Joy
In half and please bring me cake back,Anger
I will make you hurt,Sad
Shouldn't exist,Sad
"I don't know, she wouldn't say",Sad
Diggy said the boogie said up jump the boogie,Anger
Toast to the ones that we lost on the way,Sad
I'll walk the streets at night,Joy
Try to tell you no but my body keeps on telling you yes,Joy
"And oh, I've known it for the longest time",Sad
My Wu-Tang slang is mad fuckin' dangerous,Anger
Oh I'm a mess right now,Sad
"I'll bite your motherfuckin' style, just to make it fresher",Anger
You give a chick hard dick and bubblegum (Ay!),Anger
Penelope pump let off six whole rounds (boom!),Anger
Boys out here ain't hard as us,Anger
"If you see him in the subway, He'll be down at the end of the car.",Sad
"Really mistreat him, let's Rodney King him and over beat him",Anger
See the butterflies color's,Joy
I said you don't wanna fuck with Shady ('Cause why?),Anger
"A lush that love to drink, drunk drivin a tank",Anger
(love is like oxygen),Joy
But there's a method to my madness unusual still,Anger
"I hold the heaters low and ground you up inside a Peter Roll,",Anger
"I'm high, I'm smoking ganja (smoking ganja)",Anger
I feel so bad I got a worried mind,Sad
Cause I talk with an accent and grab on my balls,Anger
Shit not even my bed sheets,Anger
Sorry that I can't believe that anybody ever really,Sad
"All through the hood, I keep hearin' niggas sayin'",Anger
So keep actin' like you don't know where the funds at,Anger
"Lit trying to get a hit, hungry for this money",Anger
I'm from that ATL ho,Anger
And check out the man he goes by the name of er,Anger
An empty house,Sad
It was just like a movie,Fear
That's what my therapist say,Sad
And I realized she was the crazy one,Anger
Always seems to know the way,Joy
"You and I get so damn dysfunctional, we start keeping score",Joy
"I've learned to lose you, can't afford to",Sad
Remember we used to pull up and let 'em fight? That's that hood time,Joy
I'm sick and tired of walkin' around like this,Sad
Now it's all out and you knew,Anger
And that's one in the chamber,Anger
Such a funny thing for me to try to explain,Joy
"This roof is caving in, up its time to raise it then",Anger
So hard to breathe,Sad
From in-school to before school to outta school,Anger
"I'm so over bein' blue, cryin' over you; and",Sad
Life's mystery seems so faded,Sad
"Every ounce of energy, you try and give away",Sad
Paranoid thief that'll steal from his own moms,Anger
Now I don't know what to be without you around,Sad
No one comes near,Sad
"It's okay, wednesday, thursday, it's okay,",Joy
"It's a love story baby just say ""Yes""",Joy
"Move bitch, get out the way",Anger
"Oh, I'm so lonely",Sad
I never knew lonely til you,Sad
These motherfuckers are thinkin' I'm playin',Anger
Now you are just somebody that I used to know,Anger
I'm skidding out,Anger
They have the authority to kill a minority,Anger
"Hulk, you're trapped in my medicine ball",Anger
The sound of your heart beating Made it clear,Joy
And I will stumble and fall,Sad
A bloodstain is orange after you wash it,Anger
I pack a chainsaw I'll skin your ass raw ,Anger
We danced for hours in the sand,Joy
I feel so,Sad
They're only saying I love you,Joy
Than George Zimmerman in his car chillin',Anger
"Got me looking so crazy right now, your touch",Joy
Hate to fall but never wreck his car,Anger
It seems no one can help me now,Sad
"Barack wants help, all my bodies buy 'em chalk",Anger
I truly am indeed,Sad
But nobody waitin' 'round with me,Anger
And I'd be singing this lonely tune,Sad
Hop just let the beast unleashed,Anger
"My book of rhymes, got 'em cookin', boy",Anger
"Please, please stand up",Anger
Gotta keep those lovin' good vibrations a-happenin' with her,Joy
"I'm pickin' up good vibrations (good vibrations, oom bop bop)",Joy
No is the saddest experience you'll ever know,Sad
"He's a perfect stranger, Like a cross of himself and a fox.",Sad
"It's elementary, life is but a dream",Anger
Dare ya to be who you will,Anger
You know what the movemets like,Anger
Come on and bring the ruckus,Anger
Cause ladies' screams keep creepin' in Shady's dreams,Anger
I like the dimples on the corners of the smile that you wear,Joy
Fuck your love songs,Anger
Make it somehow all seem worthwhile,Sad
"I was a martyr, it was horror when my father was sick",Anger
Love is like oxygen,Joy
There in the midst of it so alive and alone,Sad
"But I'm glad, 'cause they feed me the fuel that I need",Anger
Who if He really does exist,Sad
Looking forward to happier times,Sad
And I think to myself what a wonderful world,Joy
If he gave me a handout,Anger
Throw me in the cuffs with just two niggas,Anger
And drastic movement of people actin stupid,Anger
Cause I'm fucking up your program,Anger
When I step inside the boot and rhyme,Anger
"To do it again, then if he does it again",Anger
If you stop to get some Zs I just haunt you in your dreams,Anger
Time is no healer,Joy
Wrong way on a one way track,Sad
"Control gets old, I smash out my skin",Anger
"We smokin', straight loc'n, locked and loaded",Anger
I wish the couple on the corner would just get a room,Sad
"And it's so, it's so sad to think that she don't see what I see",Sad
The days we had,Sad
"You're payin'? Is the amount cleanin' you out, am I satisfactory?",Anger
Them niggas be drumming,Anger
"I can't, Breathe,Without you,",Sad
So lost,Fear
I'm the last of the best (best),Anger
Cause everybody's got somebody but me,Sad
Don't wanna start another fire,Sad
"Impulsive thinker, compulsive drinker, addict",Anger
If I could find that lonely street,Sad
"Dishes breaking, dishes breaking",Anger
Like I could disappear and you…,Anger
Cause inside you're ugly,Anger
And the world's alright with me,Joy
Cause my heart breaks a little when I hear your name,Sad
I'm over this,Sad
You got skill?,Anger
Mjg is the reason yo season needed seasonal spices,Anger
I be airing rappers out like I'm sponsored by Febreeze,Anger
All by myself Anymore,Sad
Because I'm happy,Joy
"Imagine how the world could be, so very fine",Joy
Living that life and counting this cash,Anger
I think I'll up my high by slittin your throat,Anger
"Listen it's, lil' fame right?",Anger
"Never knew a love like this, now I can't let go",Joy
It is time to scuba dive,Anger
Show you machine gun funk,Anger
"No, I ain't bitter, I don't give a fuck",Anger
It's the way that you know what I thought I knew,Joy
"But as long as I got my gun, I'm aight",Anger
I'm cooling wit my youngins,Anger
A lovely day,Joy
I am talking to the moon still trying to get to you,Sad
Pawns tremble like dildos wielded by duppies,Anger
We catch bodies for the love of the block,Anger
"Permanently, B****, it's beddy-bye",Anger
Damn right I'm a maniac,Anger
"All black UConn, shoes on everyday,",Anger
I see no justice,Anger
And all I remember is your back,Sad
You know how I feel,Joy
Runaway train never going back,Sad
Got a new blow-up doll and just had a strap-on added,Anger
"No, no, I like my bitch conceited (my bitch conceited)",Anger
Nothing you can sing that can't be sung,Joy
He's a feeling arranger And a changer of the ways he talks.,Sad
I thought I was supposed to be this hip hop savior,Anger
"And when I'm finished, it's gonna be a bloodbath",Anger
"Waiting for a pussy to creep, give him my best shot",Anger
"I'm in love with you, and now you know",Joy
"I shine so hard, I make motherfuckers wan' kill me",Anger
Call me Richochet Rabbit,Anger
"I scream on ya ass like your dad, bring it on",Anger
"Slim Shady, brain dead like Jim Brady",Anger
"Click clack, pow, now he runnin'",Anger
Me deal with the scene rough like crime,Joy
"Clinically brain dead, I don't need a second opinion",Anger
"Love you every minute, every second",Joy
"Bitch, I'ma kill you! I ain't done, this ain't the chorus",Anger
And if you won't come back to me,Sad
"Know it sounds like rap, but this shit is real B",Anger
"One last kiss, then catch your flight",Sad
If I showed you my flaws,Fear
Fuck you to the San Francisco police department,Anger
"I ain't ""acid rap, "" but I rap on acid",Anger
Don't you know this lonely boy loves you,Sad
"Bitches too, you ain't nothin' but a girl to me",Anger
"That I done you wrong, and I mean to know",Anger
"Dickhead, fuckface, cock smoking, mother fucking ass hole",Anger
But nigga I'm 3hunna,Anger
The ROC handle like Van Axel,Joy
"Ain't nothing working for this pain of mine, hoo ooh hoo",Sad
We drew a map to a better place,Sad
"Never pick up, never call me",Anger
When I hold you in my arms I know that I can do no wrong,Joy
"I invented violence, you vile venomous volatile vicious",Anger
You don't wanna fuck with Shady ('Cause why?),Anger
"Without you (sucks, sucks, sucks, sucks)",Anger
Wake me up when September ends,Sad
You'll probably end up jumpin' out of somethin' up on the tenth,Anger
A street walkin' nigga and a beat walkin' nigga with a badge,Anger
It's never been this close before,Sad
"Sleep on me, that pillow is where your head'll lie",Anger
Bought a ticket to your concert just to come and whip your ass,Anger
I can't see me lovin' nobody but you,Joy
Your days are numbered like pages in,Anger
Here comes the rain again,Sad
"I hope my children come and visit, once or twice a month",Fear
But see me on the street and duck,Anger
I could die as a happy man I'm sure,Sad
Went broke and I came up in the same year,Anger
I see my future in your eyes,Joy
I look and stare so deep in your eyes,Joy
"I catch 'em slippin', I have 'em tongue kissin' my TEC",Anger
Not enough and you're gonna die (gonna die),Joy
I am loisng my sleep,Fear
And I'm comin' red like Coke-Cola,Joy
Same old empty feeling in your heart,Sad
So don't fool with the click (Ay!),Anger
Were just thrown away,Sad
A love that I could not forsake,Joy
"I talked to your dad, go pick out a white dress",Joy
"In your eyes I see the light, my future",Joy
"Dip, dip-set!",Anger
But I'm ready to learn Of the power of love,Joy
No other name falling off my lips,Sad
Get up (Get up) Get crunk (Get crunk),Anger
Don't know that I will,Sad
Mama told me they're be days like this,Anger
"The only one for me is you, and you for me",Joy
"You and I go rough, we keep throwing things and slamming the door",Joy
"You see me, you seen the greatest rapper, mondern man's call,",Anger
"To be hidden by the city lights, city lights",Joy
I'm ill enough to just straight up dis you for no reason,Anger
"Feel my pain, now I'm styling",Anger
I heard that you're settled down,Sad
I can live my life without praying that we could make up,Sad
"That just attacked you, now you got your fucking arm in his grip (brat brat)",Anger
Everything I do is türelem,Anger
Upside ya motherfuckin' forehead,Anger
"But it don't matter, it clearly doesn't tear you apart",Sad
"Going nowhere, going nowhere",Sad
But I'll only stay with you one more night,Joy
"Young 'Hov, y'all know when the flow is loco",Joy
"Surrender my heart, body, and soul",Sad
I never knew lonely could tear you in two,Sad
And when someone else instead of me,Joy
How do I ever srvive ,Sad
"You rhyme like a hoe, find a more suitable pitch,",Anger
Gonna see my baby again,Sad
I'm going under and this time I fear there's no one to save me,Sad
"Out there in the spotlight, you're a million miles away",Sad
The top gets higher the more that I climb,Anger
Working til the sun don't shine,Sad
There's a rumour goin' round the town,Joy
Rappers commit suicide,Anger
And a bold world,Joy
(Stand up Shady),Anger
"Ain't no fun just hangin' around,",Joy
Get drunk stupid,Anger
Know say you wan' gimme suckle and corn,Joy
"F*** this fame, that ain't what",Anger
"And I keep heat, cause in these streets (what you hear?)",Anger
I have nobody for my own,Sad
Everything's gonna be alright,Sad
And count another quick meal,Anger
I can see through you,Anger
If I had known what I know now,Sad
See to the real you,Anger
"Got you stuck on my body, on my body like a tattoo",Joy
"Hand me the trophy, the gold medals and plaques",Anger
"You pretend it doesn't bother you, but you just want to explode (yeah, oh)",Sad
Bawitdaba da bang da dang diggy diggy,Anger
"Gamble in Vegas, I know the Maloofs (huh)",Anger
My church offers no absolutes,Sad
"My skids 'til the brink, I jizz snowmen",Anger
I'm changing man,Anger
Let the bodies hit the floor Now. Push me again.,Anger
"Tryin' to get my paper, child support suin'",Anger
And when it comes to beef boy we some burger kings,Anger
Make it a vicious act of terrorism,Anger
But now I know how much it means,Sad
With that Brownsville mentality to Shanghai,Anger
And if your friends jump in,Anger
And it haunts me every time I close my eyes,Sad
And this house just ain't no home,Sad
Smiled with the risin' sun,Joy
"And, baby, you're making a fool of me",Joy
I never would have played so nonchalant,Sad
Loving can hurt,Fear
"Wanna wake up, break up",Sad
"Yap your chain, smash the lens in your specs",Anger
"And you fall, and you crawl, and you break",Anger
There  go my myind racing and you are the reason,Sad
"Come here bae, I'ma listen",Joy
Never fuck with G and E,Anger
And watch an old love die,Sad
And ripping through the softest skin there ever was,Sad
Got me looking so crazy right now (love),Joy
So bye-bye to all you groupies and gold diggers,Anger
Goes away in the end,Sad
Ain't gotta know me some vato,Anger
"Bitch, I'm comin' out swingin', so fast it'll make your eyes spin",Anger
"Pathological liar, blowin' shit out of proportion",Anger
Fuck you to the C.I.A,Anger
"I'm a caged demon, on stage screamin' like Rage Against the Machine",Anger
Do what I want 'cause I can,Anger
"Near, far, wherever you are",Joy
"Motherf***er, I'm gone (I'm gone)",Anger
"Murder one, my style shot ya knot like a stun-gun",Anger
Get up off them go damn diamonds (huh!),Anger
Quiet when I'm comin' home and I'm on my own,Sad
"And it's drivin' me crazy, 'cause I'm so",Sad
We go to a party and everyone turns to see,Joy
But I'm wishing we could try it again,Sad
Sometimes I cry babe,Sad
I was wondering if after all these years you'd like to meet,Sad
"But soon for a n**** it be on, mu'f***a'",Anger
I remember when I came out and shit,Anger
Fuck you to all you redneck prejudice mother fuckers,Anger
She's the giggle at a funeral,Sad
The words I need to hear,Sad
Can I get a hell yea?,Anger
Let me photograph you in this light in case it is the last time,Fear
We found love in a hopeless place,Joy
(you get too much you get too high),Joy
"It's ya boy, young",Joy
"Cause the next time you see me... ha, I will kill you",Anger
I feel wonderful because I see,Joy
On any motherfucker in a blue uniform,Anger
Got me hoping you'll save me right now,Joy
It was a great big lie (big old lie),Anger
"Start that goddamn show, I'm comin' through",Anger
"Blood, guts, guns, cuts",Anger
Tryin' to save a part of you,Sad
Yeah the ups and the downs with me,Anger
"Bring da mother, bring da motherfuckin' ruckus",Anger
The map that leads to you,Sad
Ugly like me,Anger
Why should anyone?,Anger
There may come a time when I will see tha I've been wrong,Sad
"I could run circles around you so fast your f***in' head'll spin, dog",Anger
These beads I'm swingin is stingin 'em,Anger
"Smack a ho, shoot the club up",Anger
And though it's not the easy way,Sad
Leave me alone,Sad
I didn't think you'd be gone this long,Sad
"Let me down, down",Sad
Ante up! Yap that fool,Anger
Sometimes I am frightened,Fear
There's nowhere to run,Sad
"Every occasion, once more, it's called the funeral",Sad
Then I think to myself what a wonderful world,Joy
"To be beatin' on, and thrown in jail",Anger
"Bitch, I'ma kill you! Like a murder weapon, I'ma conceal you",Anger
"My little girl wouldn't say, ""I do"".",Sad
For all my life,Joy
"My name is Marshall Mathers, I'm an alcoholic (Hi Marshall)",Anger
Love comes slow and it goes so fast,Sad
"No, just criminal intent to sodomize women again",Anger
Do you see how much I need you right now?,Sad
"So done with wishin', you were still here",Sad
I let my guard down and you pulled the rug,Sad
Had that upper hand had pulled first,Anger
Labeled and known as a young Pac to the public,Anger
The silence of a falling star,Sad
"And how every song reminds me of what used to be, that's the reason",Sad
Spinning faster than the plane that took you,Sad
And your mother's favorite song,Sad
Cause a nigga like me,Anger
And you said you had my back,Sad
I'm sellin' shit up in the club like I work in the bitch,Anger
The truth didn't last,Anger
This beautiful lady that's walking around with me,Joy
Accomplished dreams are a part of us,Anger
"Most incredibly, it's ya girl, B",Joy
"She loves you, yeah yeah yeah",Joy
"In the paper, the news, every day I am",Anger
I know I've dreamed you a sin and a lie,Sad
Monster with the freeze when I'm conquering MCs,Anger
Baby don't lie to me,Fear
What? My whole family nuts,Anger
We can go toe to toe in the middle of a cell,Anger
Why did you leave me Why did you leave me,Sad
"Get the fuck back, guard ya grill",Anger
"Here I come, here I go",Anger
I must have called a thousand times,Sad
Fore (boom!) one (boom!) shell (boom!) hit (boom!) the (boom!) ground,Anger
"A lot of kush, a lot of guns nigga (a lot of guns nigga)",Anger
This pain you'll never know,Anger
Or lost you?,Sad
I'm smoking the shit my nigga be growing for Snoop (huh),Anger
I'm not used to being alone!,Sad
"And if you offend me, I'm lifting you ten feet in the air",Anger
My headband expand like I choose juice,Anger
"Huh, my word is my pride",Anger
Like my fathers come to pass,Sad
Cause there'll be no sunlight,Sad
And the way the sunlight plays upon her hair,Joy
You wacker than the motherfucker you bit your style from,Anger
It's not warm when she's away,Sad
To politic or be fake with you,Anger
"Ghostface, catch the blast of a hype verse",Anger
I simply would of wished that my music would be a hit,Anger
You wouldn't be safe anywhere if I was mad at you. ,Anger
"Hunt you down nigga, run your ass down",Anger
All I wanted was some chips,Anger
"Hold up, wait up, shorty",Anger
And then your stuck up,Anger
"So you walk into this restaurant, all strung out from the road",Sad
"Here to spark a nigga, break apart a nigga",Anger
Leaving me to doubt,Sad
Before the wrath and aftermath,Anger
Motherfucker see how far that I came here,Anger
"And say, don't cry",Sad
My salvia silhouette commence shots,Anger
If I could capture the rage of today's youth and bottle it,Anger
"Good times, good times",Joy
"I'm buzzin', Dirty Dozen, naughty rotten rhymer",Anger
You just know - that's the new shit,Anger
"To not come and speak to me, I don't know you",Anger
"No, I'll never love again",Sad
I heard you're movin' in with someone new,Sad
This is that get crunk move bitch,Anger
She's giving me the excitations (oom bop bop),Joy
Unleash the hounds 'til them niggas'll gun your ass down (stop it),Anger
"Never mind, I'll find someone like you",Sad
Leaving me,Anger
They needed more life and lucky yo wife was bleedin',Anger
"Drop my tear, hold my joy, show my pride",Anger
Even though there may be times,Joy
"Well, I turned around (right around)",Anger
Who dares to attack a genius?,Anger
The songs we sang together,Sad
The most meanest MC on this—on this Earth,Anger
"What you think? I'm sittin' in this cage for nothing?,",Anger
Police response never fast enough to shots fired,Anger
"Oh, her eyes, her eyes make the stars look likeThy 're not shining",Joy
And you don't want no anna boy cause we the anna kings,Anger
"What's the deal, lemme make it clear",Anger
Sunshine caresses each new waking hour.,Joy
Tired of wearin this yellow thong,Anger
"It's a quarter after one, I'm a little drunk, and I need you now",Sad
Planet Earth is blue,Sad
I'll worship like a dog at the shrine of your lies,Sad
Do all the things I should have done,Sad
"Imagine me and you, I do",Joy
"Pharaoh clique a nigga sicker, quick enough to split your brain",Anger
She say she likes all of her nigga's rhymes,Joy
Side linin' my fuckin' business,Anger
The type of shit that causes mass confusion,Anger
I know I'm going to hell cause I choose to sin,Anger
I be the F-R-O the double G,Anger
"Now it's so sad to see, an upper-class city havin' this happening",Anger
With a loaded 44 tucked into his drawers,Anger
"Rock a ski-mask, whether it's June or February",Anger
If what you say is true,Anger
"Talk of new love, the words are all lies",Sad
And blow the whole roof off the toll booth bitch ass nigga!,Anger
There's no way out,Sad
Alone without you by my side,Sad
"Step aside, open wide, It's the loner.",Sad
Left unattended,Sad
"And hold down the fort, never get caught cause I creeps NIGGA!",Anger
Not enough and you're gonna die,Joy
AKs and TECs make 'em vacate a set,Anger
To try and apologize for my mistakes,Sad
"And you know I'm rollin' the whip, we finna set 'em free",Anger
Going through us,Sad
"Alone, alone",Sad
And the lonely,Sad
And the endlessness that you fear,Fear
A barely breathing story,Sad
"I excel with my bredren, giving birth to nuclear weapons",Anger
Ante up,Anger
So put my tape back on the rack,Anger
Only know you love her when you let her go,Sad
"You justify those that died by wearing the badge, they're the chosen whites",Anger
Scared to death we'll never touch again ,Fear
Hahahahaha,Anger
Were once just a dream,Sad
Never love again,Sad
"I dead a copper, head to Czechoslovakia before they spot me on security cams",Anger
And as I wonder where you are,Sad
All you fagot motherfuckers make way for two zero,Anger
Yeah,Anger
I'm from that Brooklyn Bitch,Anger
"One word to describe me (what), spectacular, YES!",Anger
"I can hardly breathe, I need to feel you here with me",Sad
That I wish that I would just die or get fired,Anger
Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely ,Fear
"Ol' G, big homey, the one and only",Joy
Who he think he is? Look at what you did to me,Joy
"Huh, a young nigga on the warpath",Anger
Somebody to have,Sad
Clap along if you feel like happiness is the truth,Joy
Give me another chance,Sad
Why she had to go,Sad
"Man, it feels like these walls are closing in",Anger
Til the vocal cords don't work in her throat no more?,Anger
"When we all fall asleep, where do we go?",Anger
"And the memories bring back, memories bring back you",Sad
Sixteen m-16's and one pump [click-clack],Anger
Two years since you walked away from me,Sad
But I still know your birthday,Sad
Tonight let's get some and live while we're young,Joy
Grab a brush and put a little make-up,Anger
"Fuck that shit, 'cause I ain't the one",Anger
"I'm finally astral now, grab my stems",Anger
Perhaps upon that lonely street,Sad
My way or the highway,Anger
Mad niggaz never even knew the devil had a kid,Anger
To Blue Bayou,Sad
"If you scared get ya gun (get ya gun, get ya gun)",Anger
"Screamin', ""Fuck the world, "" like 2pac",Anger
I'm fucked at dealing,Anger
Before the world fell at our feet,Sad
You'll be the prince and I'll be the princess,Joy
But I ain't done much healing,Sad
I love it when you call me señorita,Joy
Where dirtbag drink from the same water he piss(hahaha),Anger
"I've got to cover ground, you couldn't keep me down.",Joy
Since I left my baby behind,Sad
Miscellaneous,Anger
I'll never change for none of your wack ass deadbeats,Anger
That's what True love is,Joy
Sensation or vibration as soon as you hear the fuckin beat,Anger
You mother get up,Anger
"I'm doin' acid, crack, smack, coke and smokin' dope then",Anger
"Middle America, now it's a tragedy",Anger
I would do anything to have you by my side,Sad
That should be me buying you gifts,Sad
"Nigga, I'm faded off of that Nuvo",Anger
The flow's diesel but the game is sour,Anger
Fuck you to the America,Anger
"Uh oh, don't jump bitch, move",Anger
"And on the other hand, without a gun they can't get none",Anger
She is the last true mouthpiece,Sad
Every Sunday's getting more bleak,Sad
With a prosthetic arm and smellin like Boone's Farm,Anger
And not the other color so police think,Anger
"I'ma take my time, I'ma master it",Anger
So you'll go on pretending like always,Sad
"This where the bucks stop chump (dump, dump, dump)",Anger
Tall knives in my grill feel potent,Anger
With the flashing lights had me stuck like reindeer,Anger
I roll with groups of ghetto bastards with biscuits,Anger
I extort to support my peeps,Anger
I-I love the colorful clothes she wears,Joy
Another day without your smile,Sad
To cop me rotation at rock-n-roll stations,Anger
"Start dumpin' and rippin',… ",Anger
And are you thinking of me when you fuck her?,Anger
"Love, love, love There's nothing you can do that can't be done",Joy
"B****, I'm a pick the world up",Anger
It's my way,Anger
"Calling security, keepin' my head held down",Anger
I went to the bank to cash my check,Anger
My empire of dirt,Sad
And that's when you need me there,Sad
"This world is my Easter egg, yeah! prepare to die",Anger
Tears streaming down your face,Sad
"I'll climb every mountain ,swim every ocean, just to be with you",Sad
"Walking towards the airport, leaving us all in your past",Sad
"Ah, here I am, on the road again, here I am, up on the stage",Sad
"Hard to touch, sorry to tell you",Anger
From fat bitch to all seventy thousand pounds of her,Anger
Stumbled through the long goodbye,Sad
I know I'll see you again,Sad
Dare ya to cry right out loud,Anger
I'ma bang 'til the springs in this thang start squeakin',Anger
You ain't gonna sell two copies if you press a double album,Anger
I'm pickin' up good vibrations (oom bop bop),Joy
It's fight music!,Anger
So happy together,Joy
Better hide your wallet cause I'm comin' up quick to strip your cash,Anger
"Tell me, who's the biggest gang of niggas in the city",Anger
Or am I talking to myself,Sad
This is my last resort,Anger
Watch her come to my lights like a reindeer,Joy
One is the loneliest number that you'll ever do,Sad
We'll stay forever this way,Joy
The rest I can do without,Sad
"Light a cigarette, flick it at 'em or spit it at 'em",Anger
I'll dis your magazine and still won't get a weak review,Anger
"Oh, my my, what a sensation",Joy
"I sit by myself, talking to the moon",Sad
"In a closet with mildew, sheets, pillows and film you",Anger
I hear the sound of a gentle word,Joy
Loneliness and empty days will be my only friend,Sad
"Got me hoping you'll page me right now, your kiss (baby)",Joy
"Oh no, the fight's out",Anger
I don't even change clothes,Anger
"You be yellow-taped, outlined, etch-a-sketched..",Anger
We 'bout that all black so miss me with yo' battle raps (nigga),Anger
"For the fire to burn, and it's burning, and I have returned",Anger
I'm feeling very still,Sad
"Put your hands down, bitch, I ain't gon' shoot you",Anger
"The snub in my paw, shove it in your jaw",Anger
Only hate the road when you're missing home,Sad
Our song on the radio but it don't sound the same,Sad
And the sunlight hurts my eyes,Joy
Our love has gone cold,Sad
Let a nigga know what hood you from,Anger
And if you look between the lines you'll find a rhyme,Anger
"P.L.O. style, hazardous, cause I wreck this dangerous",Anger
"Oh, my my, what elation",Joy
I'm young hungry armed and reckless,Anger
Yeah! It's Bad Boy South Niggaz,Anger
"Hold the mic with my left, my knife in my right hand",Anger
When somethin's not right it's wrong,Sad
"Breaking, breaking, breaking, Dishes, dishes, dishes",Anger
Fuck bailin' hate I bail and spray with my A-K,Anger
I'm so lonesome all the time,Sad
"Following, following, following to you you-you-you-you-you",Sad
I want to be there for you,Fear
You and I go hard at each other like we're going to war,Joy
Never easy,Sad
This time I'm a stand up and shout,Anger
Me to make you my art and make you a star,Anger
And I wonder if I ever cross your mind,Sad
I'm wearing a badge tearing your ass,Anger
You pull up in that Honda,Anger
My mind is running empty,Sad
But everybody's got somebody but me,Sad
Came up from behind,Anger
"Aight motherfucker, what's wrong with you?",Anger
"Oh, my my, what",Joy
