Lyric,Title,Singer,Emotion,Label
"For my peeps that hate slow money, I put them in the industry",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Sometimes I am frightened,The Power Of Love,Celine Dion,Fear,3
"Remember Christ, our Savior",God Rest Ye Merry Gentlemen,Meredith Andrews,Joy,0
"In the quiet, in the stillness
I know that You are God",None But Jesus,Hillsong UNITED,Suprise,5
"And this thing turned out so evil, I don't know why I'm still suprised",Love The way you lie,"Eminem, ft. Rihanna",Suprise,5
Couldn't stand to be far apart,Scared to Be Lonely,"Dua Lipa, Martin Garrix",Fear,3
"Bitch, I'ma kill you! You ain't got the balls to beef",Kill You,Eminem,Anger,1
"Father gets up late for work
Mother has to iron his shirt
Then she sends the kids to school
Sees them off with a small kiss (ah)",,,Joy,0
"Of this weed, it gives me the shit needed to be",The Way I Am,Eminem,Anger,1
"She's cut from the finest cloth, my love 
 Plus, we like to take it easy
 All she wants to do is please me.",Take Me Away,"Daniel Caesar ft. Syd

",Joy,0
We're a happy family,,Barney,Joy,0
"The kids in girl and boyland
Will have a jubilee
They're gonna build a toyland
All around the Christmas tree",Santa Claus Is Coming to Town,Mariah Carey,Joy,0
All I can do is say that these arms were made for holding you,18,one direction,Joy,0
Did you ever see a robin weep,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
And we will come back home,From now on,Hugh Jackman,Joy,0
To live with Thee there,,,Joy,0
"WHEN SHE BEATS HIM UP, I SIT THERE AND LAUGH
I LIKE DRUGS AND CHILD ABUSE",l like drugs and child abuse ,Anal Cunt,Disgusting,4
They act like they never seen a mother fucker wearing black,I Don't Give a Fuck,Tupac Shakur,Anger,1
I know they want me for their food,Pit of Zombies,Cannibal Corpse,Fear,3
"I'mma blow this, blow this",Breakin' Dishes,Rihanna,Anger,1
"Ay yo, ain't talkin' housewives, but I'm in the Porsche
First I'mma scorch her, then I'mma torch her
Then I'mma torture her, then I'mma off her",Make Love,Gucci Mane and Nicki Minaj,Disgusting,4
And I rest again peacefully,The Way I Am,Eminem,Anger,1
limbs flailing in the blood,Bloodlands,Cannibal Corpse,fear,3
"The dead are not safe, the lifeless child corpse
I will violate",Fucked With a Knife,Infant Annihilator,Fear,3
"On a long and lonesome highway, east of Omaha",Turn the Page,Metallica,Sad,2
I'd rather rob a nigga leave him wit a shell up in his back,Get It On The Floor,DMX,Anger,1
With a big smile on my face,Gives You Hell,The All-American Rejects,Joy,0
"Plant your rows straight and long
Temper them with prayer and song",Garden Song,John Denver,Joy,0
Say a few words to praise him ev'rytime I lift my voice.,I Believe,Natalie Grant,Joy,0
"I done got hot, dog, relish she ain't catchin' up
Gucci, Fendi, Prada, Balenciaga, I got Margiela, ah",Writing on the wall,French Montana,Disgusting,4
"Lonely, I'm Mr. Lonely",Lonely,Akon,Sad,2
None of me left but reflex skidding out,Spikes,Death Grips,Anger,1
"Real country-ass nigga, let me play with his rifle
Pussy put his ass to sleep, now he calling me NyQuil
Now that bang, bang, bang",Anaconda,Nicki minaj,Disgusting,4
How bout yer fucking face,Break Stuff,Limp Bizkit,Anger,1
Talk about God in His mercy,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
Relationships have all been bad,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
That should be me feeling your kiss,That should be me,Justin Bieber,Sad,2
"I'm like salt, I'll get up",Get It On The Floor,DMX,Anger,1
Whore makeup reapplied every time I piss in her face,Robalni,Syphilic,Disgusting,4
Live a life of moribund abnormalcy,Brain Removal Device,Cannibal Corpse,fear,3
Am I sitting in a tin can,Space Oddity,David Bowie,Sad,2
"For the fire to burn, and it's burning, and I have returned",The Way I Am,Eminem,Anger,1
"Without you, I feel broke",Sad Song,We The Kings,Sad,2
"If the whole world was watching I'd still dance with you 
Drive highways and byways to be there with you 
 Over and over the only truth 
Everything comes back to you.""","This Town

","Niall Horan

",Joy,0
"We on the dance floor, throwin' bows, beatin' up niggas",Move Bitch,Ludacris,Anger,1
beat him real good but don't dare let him die,Decoration Day,Drive-By Truckers,fear,3
"Meet the King of Kings, come and follow me",Can You See,Fifth Harmony,Suprise,5
"You're always there, you're everywhere",Wish You Were Here,Avril Lavigne,Sad,2
So lift up your voice and sing out His praise,Hallelujah,BarlowGirl,Joy,0
There when I need her loving,You are all I need,White Lion,Joy,0
"chingedy ching, hee haw, hee haw
It's Dominick, the donkey
Chingedy ching, hee haw, hee haw
The Italian Christmas donkey",Dominick the Donkey, Lou Monte,Joy,0
"There is not a single word, in the whole world  That could describe the hurt the dullest knife just sawing and back and forth",Hate to See Your Heart Break,Paramore,Sad,2
"Suddenly, that was funnier than the cripples
So i tracked you down and made fun of you",I Made Fun of You Because Your Kid Just Died,Anal Cunt,Disgusting,4
"Every projects in every hood I go, they feel me",I’m Supposed to Die Tonight,50 Cent,Anger,1
They'll learn so much more than I'll ever know,What a Wonderful World,Ledisi,Joy,0
I'll never change for none of your wack ass deadbeats,Hip Hop Sinister,Hopsin,Anger,1
"And the memories bring back, memories bring back you",Memories,Maroon 5,Sad,2
"Ride the dick like a BMX
No nigga wanna be my ex (",Motorsport,Cardi B and Nicki Minaj,Disgusting,4
"Sometimes in our lives we all have pain
We all have sorrow
But if we are wise
We know that there's always tomorrow
Lean on me, when you're not strong
And I'll be your friend",lean on me,Bill Withers,Joy,0
Away from the sun that shines into the darkest place,Away From the Sun,3 Doors Down,Sad,2
"However big, however small
Let me be part of it all
Share your dreams with me",A million dream,"Hugh Jackman, Michelle Williams, and Ziv Zaifman",Joy,0
Punk police are afraid of me!,Fuck Tha Police,N.W.A.,Anger,1
I'm combining platinum with some diamonds,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
You're my sunshine and I want you to know,You're My Best Friend,Queen,Joy,0
Monster with the freeze when I'm conquering MCs,Agony Fires,Army of the Pharaohs,Anger,1
We like helping one another in school or on the playground,Friendship Song,Barney,Joy,0
If you don't cut open the stomach,Disposal of the Body,Cannibal Corpse,fear,3
"I don't talk that rich shit, but nigga I'm filthy",I’m Supposed to Die Tonight,50 Cent,Anger,1
"Baby, your smils's forever in my mind and memory",Thinking Out Loud,Ed Sheeran,Joy,0
"I'll take it away, your life will end today",Bloody Chunks,Cannibal Corpse,fear,3
"Pussy got that wet, wet, got that drip, drip",FEfe,"6ix9ine, Nicki Minaj",Disgusting,4
Old friends I no longer have,The Spiteful Chant,Kendrick Lamar,Anger,1
"I see babies crying, I watch them grow",What a Wonderful World,Ledisi,Joy,0
"I can't take the pressure, I'm sick of bitches",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
This is such a wonderful place to me,Rainbow,Unknow,Joy,0
"Set it on the microphone, and competition get blown",Bring da Ruckus,Wu-Tang Clan,Anger,1
I am always dreaming of being in love,A Smile in Your Heart,Harana,Joy,0
Beyond the door there's peace I'm sure,Tears In Heaven,Eric Clapton,Suprise,5
I know what no one else knows,Runaway Train,Soul Asylum,Sad,2
Bears heavy on my mind,Lovely Day,Bill Withers,Joy,0
I'm down to ride tonight,I’m Supposed to Die Tonight,50 Cent,Anger,1
"Love was when I loved you 
 One true time I hold to 
In my life we'll always go on.","My Heart Will Go On

","Celine Dion

",Joy,0
Get along with the voices inside of my head,The Monster,Eminem,Fear,3
"Digging your smile apart with my spade tongue
And the hole is where the heart is
We built this tomb together, I won't fill it alone",If I was your vampire,Marilyn Manson,Fear,3
"You bought all our t-shirts- you're gay, you're gay",All Our Fans Are Gay,Anal Cunt,Disgusting,4
This is that get crunk move bitch,Crunk Muzik,The Diplomats,Anger,1
What? My whole family nuts,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"Just get a bobtailed bay
Two forty as his speed
Hitch him to an open sleigh
And crack! You'll take the lead",Jingle Bells,Love to Sing,Joy,0
"I asked the Lord to help me
And he showed me the way",Go Tell It on the Mountain,Cedarmont Kids,Joy,0
I hate to bug you in the middle of dinner,You Oughta Know,Alanis Morissette,Anger,1
"Jingle bells, jingle bells
Jingle all the way
Oh! what fun it is to ride
In a one horse open sleigh",Jingle Bells,Love to Sing,Joy,0
"Summer breeze, makes me feel fine, blowing through the jasmine in my mind",Summer Breeze,Dash Crofts and Seals,Joy,0
"You asked the driver to pull over, but he laughed at you too
You yelled at me, so i rosted some marsmellows on you're kid",I Lit Your Baby on Fire,Anal Cunt,Disgusting,4
"Get the fuck back, guard ya grill",Move Bitch,Ludacris,Anger,1
You get too much you get too high,Love Is Like Oxygen,Sweet,Joy,0
"Someday in a world where men are free
Maybe not in time for you and me
But someday at Christmastime",Someday At Christmas,Stevie Wonder,Joy,0
"When you've grown up, my dears
And are as old as I
You'll laugh and ponder on the years
That roll so swiftly by, my dears
That roll so swiftly by",Toyland,Doris Day,Joy,0
"Niggas!, isn't just the blacks",I Don't Give a Fuck,Tupac Shakur,Anger,1
"Traumatized on for size, roadkill hides like yuppies",Spikes,Death Grips,Anger,1
And if you don't kill me… you're stupid. ,Hollow Points,Unknown ,Anger,1
Fuck you to the B-u-s-h,I Don't Give a Fuck,Tupac Shakur,Anger,1
"But with you, it's not like that at all",Wish You Were Here,Avril Lavigne,Sad,2
"Ancient goblins, and warlords
Come out the ground, not making a sound",Ghost Town,Kanye West,Fear,3
So kiss my fucking ass,Hip Hop Sinister,Hopsin,Anger,1
Bombing the competent,Hip Hop Sinister,Hopsin,Anger,1
"So leave a peppermint stick for old St. Nick
Hanging on the Christmas tree",Happy Holidays,Andy Williams,Joy,0
"After you get hit, you shoulda thought about the shit",I’m Supposed to Die Tonight,50 Cent,Anger,1
"But when they kill me, I'm bringin' the world with me",Kill You,Eminem,Anger,1
I'm running towards nothing,A Forest,The Cure,Fear,3
But there was nothing I could do or say to try to change it,Kill You,Eminem,Anger,1
"Hoes so busted, hoes is so crusty these bitches is my sons and I don't want custody",Stupid Hoe,Nicki Minaj,Disgusting,4
"I'm granny Norma I'm old and I got grey hair
But I remember when trees were everywhere",Let It Grow,The Lorax Singers,Joy,0
That should be me buying you gifts,That should be me,Justin Bieber,Sad,2
And I'd be singing this lonely tune,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
"We did the impossible, now we're unstoppable",Unknown,Unknown,Anger,1
He feeds on human flesh,Dracula,Lucky Dube,Fear,3
"What the fuck, what the fuck, huh? Uh",Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Probably been five months since I seen my seed,The Spiteful Chant,Kendrick Lamar,Anger,1
That I love like jewelry,Sorry,Halsey,Sad,2
That means he's lost the will to live,I'm so Lonesome I Could Cry,Hank Williams,Sad,2
And I just do not got the patience,The Way I Am,Eminem,Anger,1
Because I'm happy,Happy,Pharrel Williams,Joy,0
Homicide or suicide will be the cause of death,Evisceration Plague,Cannibal Corpse,fear,3
Chopped and hacked their bodies detached,Brain Removal Device,Cannibal Corpse,fear,3
Our tears had gone away,I Build This Garden for Us,Lenny Kravitz,Joy,0
"His pension, salary and then some",I Don't Give a Fuck,Tupac Shakur,Anger,1
Helps them grow in every way,I Eat a rainbow,Jay Mankita,Joy,0
"In your eyes I see the light, my future","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
Cause His Love and His wisdom will be our helping hand.,Jesus Is Love,Commodores,Joy,0
"We've been waiting all year for this night
When the snow is glistening on the trees outside
And all the stockings are hung by the fireside
Waiting for Santa to arrive","Merry Christmas, Happy Holidays",NSYNC,Joy,0
"Somewhere over the rainbow, blue birds fly
Birds fly over the rainbow
Oh why, oh why can't I? I
I see trees of green and red roses too",Over the Rainbow,Israel Kamakawiwoʻole,Joy,0
"Now ya act convinced, I guess it makes sense",Bring da Ruckus,Wu-Tang Clan,Anger,1
I'm ready to make everyone's throats ache,Kill You,Eminem,Anger,1
"But as long as I got my gun, I'm aight",Get It On The Floor,DMX,Anger,1
And that really colors the way that I feel,I Eat a rainbow,Jay Mankita,Joy,0
Grab a brush and put a little makeup,Angry White Boy Polka,Weird Al Yankovic,Anger,1
)Ooo0Hey there lonely girl,Hey There Lonely Girl,Eddie Holman,Sad,2
Where they play the right music,Dancing Queen,ABBA,Joy,0
"One minute I'm nice, the next a monster (brrrt)
My guesthouse alone cost like three tickets
And that Rolls truck and that paint job real wicked",Nice To Meet ya,Meghan Trainor and Nicki Minaj,Disgusting,4
Eat the meat dripping from filthy,BABY KILLER,"DEVOURMENT

",Disgusting,4
They tell me your blue sky's faded to gray,Bad Day,Daniel Powter,Sad,2
"O Christmas tree, o Christmas tree
How lovely are thy branches",O Christmas Tree,Aretha Franklin,Joy,0
And when you get the chance,Dancing Queen,ABBA,Joy,0
Cut up really small by a razor sharp knife,Bloody Chunks,Cannibal Corpse,fear,3
"I say, ""My darling, you were wonderful tonight",Wonderful Tonight,Eric Clapton,Joy,0
"Fuck it, just shut up and listen, ayo",The Way I Am,Eminem,Anger,1
It doesn't get any lonelier than this,Lonelier Than This,Steve Earle,Sad,2
If the weather's fine and you got the time.,A Beautiful Morning,The Rascals,Joy,0
And I will stumble and fall,Say Something,A Great Big World,Sad,2
"You'll never STOP me, I'm TOP speed as you POP me",Fight Music,D12,Anger,1
Cause I know I can treat you better than he can,Treat You Better,Shawn Mendes,Sad,2
"In an octopus's garden near a cave
We would sing and dance around",Octopus’s Garden,The Beatles,Joy,0
"Attention, I'ma need you to face front
You don't want smoke with me, this is a laced blunt",Motorsport,Cardi B and Nicki Minaj,Disgusting,4
"And hearts will be glowing
When loved ones are near
It's the most wonderful time of the year",It's the Most Wonderful Time of the Year,Andy Williams,Joy,0
I miss the colors of the world,Away From the Sun,3 Doors Down,Sad,2
Punk gay sensitive little dick bastards,I Don't Give a Fuck,Tupac Shakur,Anger,1
I couldn't live with no one else,So Lonely,The Police,Sad,2
I'm smoking the shit my nigga be growing for Snoop (huh),3Hunna,Chief Keef,Anger,1
"Yessir, I'm cut from a different cloth",Crazy in Love,Beyoncé,Joy,0
with your life's dead bodies everywhere,Dead Bodies Everywhere,Korn,Anger,1
"As darkness falls each night
Remind her where you are",The Prayer,Celine Dion,Suprise,5
"Your heart, your arms, your lips, your laugh,
Your love, your songs, your stories
Our tears, our prayers, our laugh, our love,
Our smiles, our songs, our stories,
They're Ours.",For a Lifetime,Ryann Darling,Joy,0
"Go against Nicki, it's gon' cost ya
'Cause now it's fuck ya, intercourse ya",Make Love,Gucci Mane and Nicki Minaj,Disgusting,4
Love comes slow and it goes so fast,Let Her Go,Passenger,Sad,2
Can you help me remember how to smile,Runaway Train,Soul Asylum,Sad,2
He carries my healing in His hands,Jesus,Chris Tomlin,Suprise,5
"You and I go rough, we keep throwing things and slamming the door",One More Night,Maroon 5,Joy,0
"Have a holly jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet",A Holly Jolly Christmas,Burl Ives,Joy,0
Why she had to go,Yesterday,The Beatles,Sad,2
"And you's a pussy, where I'm from that's the name of a coward",Hollow Points,Unknown ,Anger,1
"Every day with you is magic
Every kiss is better than the last
It's a home I've never known,
A place I know will last",For a Lifetime,Ryann Darling,Joy,0
There are movie shows Downtown,Downtown,Petula Clark,Joy,0
"Been tryna hide it
Baby what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)",Make love,Gucci Mane and Nicki Minaj,Suprise,5
"In this place you'll feel
There's no hurt or sorrow",heal the world,,Joy,0
"Let's chop some potatoes
(Potatoes na - na - na)",Vegetable Song,Singing Walrus,Joy,0
I simply would of wished that my music would be a hit,I’m Supposed to Die Tonight,50 Cent,Anger,1
someday we will live in the garden,Garden Song,Phoebe Bridgers,Joy,0
Nobody's home,All by Myself,Celine Dion,Sad,2
"I feel like running wild
Those angels a little shy
I greet you 'neath the mistletoe
I kiss you once and then some more
I wish you merry Christmas baby
Oh and such happiness in the coming year, oh baby",What Christmas Means To Me,Stevie Wonder,Joy,0
Maybe even cried for you,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"You see, silly rabbit, to be the queen of rap
You gotta sell records, you gotta get plaques
S, plural like the S on my chest
Now sit your dumbass down
You got an F on your test",Make Love,Gucci Mane and Nicki Minaj,Disgusting,4
"Hoes poppin' shit like they hot but they not (no)
Just flooded the wrist, the Patek, the watch (whoa)",Press,Cardi B,Disgusting,4
"Cause you gon' get stuck, stoned, and snuffed",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Peel out, press me to magnetic slab",Spikes,Death Grips,Anger,1
Baby don't you cry,sex money feelings die,Lykke Li,Sad,2
I'm from that BX Ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
A street walkin' nigga and a beat walkin' nigga with a badge,I Don't Give a Fuck,Tupac Shakur,Anger,1
In my hour of need,Alone Again (Naturally),Gilbert O'Sullivan,Sad,2
"Laughing and running or singing a song
Climbing and jumping, all day long",Games,Barney,Joy,0
"Our little family
So full of love and trust",I Build This Garden for Us,Lenny Kravitz,Joy,0
Sit back and get fat off the fat cat,I Don't Give a Fuck,Tupac Shakur,Anger,1
Don't worry about a thing Cause every little thing gonna be alright,Three Little Birds,Bob Marley,Joy,0
Now it's all out and you knew,Angry White Boy Polka,Weird Al Yankovic,Anger,1
Heaven is a place on earth with you,Video Games,Lana Del Rey ,Joy,0
"Time can break your heart, have you begging",Tears In Heaven,Eric Clapton,Suprise,5
"She feels good, she knows she's looking fine",Good Day Sunshine,The Beatles,Joy,0
"That my feelings are true
I really love you
Oh, you're my best friend",You're My Best Friend,Queen,Joy,0
Tell me would you really cry for me?,Locked away,R. City,Fear,3
"Got me looking so crazy right now, your love's",Crazy in Love,Beyoncé,Joy,0
".Here you are, next to me 
So much beauty at my feet 
All I wanna do is swim ","Ocean
", Lady Antebellum,Joy,0
"Said I'm so sick of love songs, so sad and slow",100 Years,Five for Fighting,Sad,2
Yap him (zap him) yap him (zap him),Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
"She like Sosa, I'm a big fan (I'm a big fan)",3Hunna,Chief Keef,Anger,1
I'm fighting the lows,Female Robbery,The Neighbourhood,Anger,1
You come to look for a king,Dancing Queen,ABBA,Joy,0
"Kill the dead, take their soul","Holy Hell

",Possessed,Fear,3
I ride on his dick in some big tall heels,Money,Cardi B,Disgusting,4
"I’d never lived before your love, I’d never felt before your touch, and I never needed anyone to make me feel alive, but then again, I wasn’t really living.",Before your love,Kelly Clarkson,Joy,0
In my life we'll always go on,My Heart Will Go On,Celine Dion,Joy,0
All those crazy things we did,Wish You Were Here,Avril Lavigne,Sad,2
But every touch is ooh la la la,Señorita,"Camila Cabello, Shawn Mendes",Joy,0
"Another shot of whiskey, can't stop looking at the door",Need You Now,Lady Antebellum,Sad,2
That's what my therapist say,I'm a Mess,Bebe Rexha,Sad,2
I'm from that Corpus Christi Ho,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
Dead or living flesh is what I crave,Bloody Chunks,Cannibal Corpse,fear,3
We'll make love in the shade,I Build This Garden for Us,Lenny Kravitz,Joy,0
And I lost all signal when I lifted off,Astronaut,Simple Plan,Sad,2
I let her write me my suggestions,I Know There's Gonna Be (Good Times),Jamie xx,Joy,0
Let you know that you're always lovely,Next to you,Justin Bieber & Christ Brown,Joy,0
"Let's chop some carrots
(Carrots na - na - na)",Vegetable Song,Singing Walrus,Joy,0
"You own all our 7""s- you're gay, you're gay",All Our Fans Are Gay,Anal Cunt,Disgusting,4
Bullets hot like the sun nigga (pow),3Hunna,Chief Keef,Anger,1
"If there is love in your heart and your mind
You will feel like Christmas all the time",Where Are You Christmas,Faith Hill,Joy,0
To politic or be fake with you,The Spiteful Chant,Kendrick Lamar,Anger,1
"Someday at Christmas there'll be no tears
When all men are equal and no men have Fears",Someday At Christmas,Stevie Wonder,Joy,0
Gotta keep those lovin' good vibrations a-happenin' with her,Good Vibrations,The Beach Boys,Joy,0
"Pretending I'm a pilot is a lot of fun,
I think when I grow up
I really might be one.",The Airplane Song,Barney,Joy,0
I can go where no one else can go,Runaway Train,Soul Asylum,Sad,2
They just don't give a fuck,I Don't Give a Fuck,Tupac Shakur,Anger,1
I'm surprised that God isn't vomiting,Hip Hop Sinister,Hopsin,Anger,1
Have mercy on me,Many Men,50 Cent,Anger,1
And how good she's treating you,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
We use a lot of weaponry when you gruesomely killed,Hollow Points,Unknown ,Anger,1
"Twice, whatever, I hate these things",Kill You,Eminem,Anger,1
Without knowing anything at all,Come Back...Be Here,Taylor Swift,Sad,2
So I'm sorry to my unknown lover,Sorry,Halsey,Sad,2
Cause now again I found myself so far down,Away From the Sun,3 Doors Down,Sad,2
"Mass insanity, the end of our time",Evisceration Plague,Cannibal Corpse,fear,3
"Honestly, I thought that I would be dead by now (Wow)",bury a friend,Billie Eilish,Anger,1
Gotta leave you all behind and face the truth,Bohemian Rhapsody,Queen,Suprise,5
It was just like a song,When we are young,Adele,Fear,3
"Clinically brain dead, I don't need a second opinion",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"The world comes to life
And everything's bright
From beginning to end
When you have a friend
By your side
That helps you to find
The beauty of all
When you'll open your heart and
Believe in
The gift of a friend",Gift of a Friend,Demi Lovato,Joy,0
Is how to live without it,Goodbye to Love,Carpenters,Sad,2
I can't work it out,I’m a Mess,Ed Sheeran,Sad,2
"Won't you help me, girl,",Tired of Being Alone,Al Green,Sad,2
This time I'm a stand up and shout,Angry White Boy Polka,Weird Al Yankovic,Anger,1
"Need two fifty more, Double M this shit for real",3Hunna,Chief Keef,Anger,1
Close your eyes and sleep,Song of the sea,Nolwenn Leroy,Joy,0
"I begged you to want me, but you didn't want me",Piece by Piece,Adele,Sad,2
"Come on, baby, let's make up for what we've been missing",,,Joy,0
"Butterflies all havin' fun, you know what I mean",Feeling Good,Michael Bublé,Joy,0
"Calm before the storm's, Katrina nigga I'm drawn",Hollow Points,Unknown ,Anger,1
When that gun with the clip in (what),Crunk Muzik,The Diplomats,Anger,1
"Lit trying to get a hit, hungry for this money",Hollow Points,Unknown ,Anger,1
I'm gone,Drop the World,Lil Wayne,Anger,1
I ice out the whole joint and put ya men on freeze,Agony Fires,Army of the Pharaohs,Anger,1
"For better or worse, till death do us part
I'll love you with every beat of my heart",I Swear,All-4-One,Suprise,5
And I'll be waking up feeling satisfied but guilty as hell,One More Night,Maroon 5,Joy,0
"Bitch, I'ma kill you! I ain't done, this ain't the chorus",Kill You,Eminem,Anger,1
"Ayo, this song is for anyone",The Way I Am,Eminem,Anger,1
"I'll be sleeping on the left side of the bed (hey)
Open doors for me and you might get some kisses
Don't have a dirty mind
Just be a classy guy",Dear future Husband,Meghan Trainor,Disgusting,4
"Niggas try to hate, we don't hear the side talk",Hollow Points,Unknown ,Anger,1
"Our house, was our castle and our keep
Our house, in the middle of our street
Our house, that was where we used to sleep",,,Joy,0
For tryin' to tuck the necklace,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
But nothin' ever stops you leavin',when the party's over,Billie Eilish,Sad,2
Your friends all tell me your happy now,Tonight I’ll Be Lonely Too,Alison Krauss,Sad,2
We danced for hours in the sand,Señorita,"Camila Cabello, Shawn Mendes",Joy,0
"She's giving me excitations (excitations, oom bop bop)",Good Vibrations,The Beach Boys,Joy,0
"Uh oh, uh oh, uh oh, oh, no, no",Crazy in Love,Beyoncé,Joy,0
Chilling with two hoes in here,The Spiteful Chant,Kendrick Lamar,Anger,1
There  go my myind racing and you are the reason,You are the reason,Calum Scott,Sad,2
"Are the neighbours watching me?
Who's watching
Well is the mailman watching me?
Tell me who's watching
And I don't feel safe anymore, oh what a mess
I wonder who's watching me now who?",Somebody's Watching Me,Rockwell,Fear,3
With a prosthetic arm and smellin like Boone's Farm,Fight Music,D12,Anger,1
Don't know if I'm God's child or I'm Satan's angel,I’m Supposed to Die Tonight,50 Cent,Anger,1
Slim Shady won't you please stand up?,Angry White Boy Polka,Weird Al Yankovic,Anger,1
You're out of time,Thriller,Michael Jackson,Fear,3
"I ain't tryna be violent, but if Nicki on it, it slaps, ho",Motorsport,Cardi B and Nicki Minaj,Disgusting,4
On Blue Bayou,Blue Bayou,Linda Ronstadt,Sad,2
I would've broke my heart in two,I'll Never Love Again,"Lady Gaga, Bradley Cooper",Sad,2
"No, I ain't bitter, I don't give a fuck",Move Bitch,Ludacris,Anger,1
"Never understood why bitches go shopping
Either way, I'm gonna follow her home
I feel the wet pre cum dripping down my leg, soon she'll be alone",Savage Rape,Syphilic,Disgusting,4
Carve the corpse - Dissect him in the tub,Disposal of the Body,Cannibal Corpse,fear,3
"Search a nigga down, and grabbin' his nuts",Fuck Tha Police,N.W.A.,Anger,1
If what you say is true,Bring da Ruckus,Wu-Tang Clan,Anger,1
"I might just chill with your boo
I might just feel on your babe",Bodak Yellow,Cardi B,Disgusting,4
I want to hold and kiss her,You are all I need,White Lion,Joy,0
Never been so easy or so slow,"You're Gonna Make Me Lonesome When You Go (Take 1, Remake 2)",Bob Dylan,Sad,2
"Act one was when we met, I loved you at first glance",Are You Lonesome Tonight,Elvis Presley,Sad,2
Cause I know I don't understand,Crazy in Love,Beyoncé,Joy,0
"Follow along with Lulu as she and her friends teach your child how to shake, jump, and move!",LULU'S SHAKE BREAK SONG ,Nursery Rhymes,Joy,0
"Up above the world so high
Like a diamond in the sky","Twinkle, Twinkle Little Star"," Sandi and Stevie
",Joy,0
"Love can touch us one time
And last for a lifetime",My Heart Will Go On,Celine Dion,Suprise,5
"Slim Shady, Eminem was the old initials (Bye-bye!)",Just Don't Give a Fuck (a cappella),Eminem,Anger,1
Fore (boom!) one (boom!) shell (boom!) hit (boom!) the (boom!) ground,Crunk Muzik,The Diplomats,Anger,1
"Swept away by my lust to cause pain, mutilation is my only want",Bloody Chunks,Cannibal Corpse,fear,3
Ten different looks and my looks all kill,Money,Cardi B,Disgusting,4
As she chokes.,"Stripped, Raped and Strangled",Cannibal Corpse,Fear,3
"All the children sing ""Hallelujah!",God Rest Ye Merry Gentlemen,Meredith Andrews,Joy,0
So tell Lucccaay (what),Crunk Muzik,The Diplomats,Anger,1
"Through storm, through night, I'll chase the light",We Three Kings,Kirk Franklin,Suprise,5
Whenever you hear some shit and you can't refuse it,Fight Music,D12,Anger,1
Left or right you get to pick the cheek,Hip Hop Sinister,Hopsin,Anger,1
"Don't forget me,  I beg",100 Years,Five for Fighting,Sad,2
"Though sometimes when life brings me down You're the cure, my love","I Like You So Much, You'll Know It",Honey Jemlan,Joy,0
But I just can't convince myself,So Lonely,The Police,Sad,2
Sometimes I just feel like my father,The Way I Am,Eminem,Anger,1
Make you strip butt-naked,Ante Up (Robbing-Hoodz Theory),M.O.P.,Anger,1
Sayin there goes my little girl,It Will Rain,Bruno Mars,Sad,2
I got lots of friends out there and they're lots of fun,Me and My Teddy,Barney,Joy,0
Deep inside the hive,They Deserve to Die,Cannibal Corpse,Fear,3
Ends to a means I can't establish,Spikes,Death Grips,Anger,1
"I'm hectic, I wreck it with the quickness",Bring da Ruckus,Wu-Tang Clan,Anger,1
Away from this long lonely nights,All Out of Love,Air Supply,Sad,2
"And, baby, you're making a fool of me",Crazy in Love,Beyoncé,Joy,0
"I was a martyr, it was horror when my father was sick",Hollow Points,Unknown ,Anger,1
"Got me looking so crazy right now (oh, crazy)",Crazy in Love,Beyoncé,Joy,0
"I sling though, if anything, I bling yo",Crazy in Love,Beyoncé,Joy,0
"I've dealt with yourself, I tricked hell out",Spikes,Death Grips,Anger,1
But I know she's always there,The Sister Song lyrics,Barney,Joy,0
We some west side niggas and we runnin this shit,Who Gives a Fuck Where You From,DJ Kay Slay,Anger,1
Colorful shirts and colorful pants,I Eat a rainbow,Jay Mankita,Joy,0
I'm ill enough to just straight up dis you for no reason,Just Don't Give a Fuck (a cappella),Eminem,Anger,1
"Warchild got machetes with old blood on the tip,",Agony Fires,Army of the Pharaohs,Anger,1
